Type,Date,Latitude,Longitude
Single_Gunshot,8/18/2015,38.66,-90.25

Gunshot_or_firework,8/18/2015,38.68,-90.26

Single_Gunshot,8/18/2015,38.67,-90.24

Multiple_Gunshots,8/18/2015,38.67,-90.24

Single_Gunshot,8/18/2015,38.67,-90.26

Multiple_Gunshots,8/17/2015,38.65,-90.26

Multiple_Gunshots,8/17/2015,38.66,-90.26

Single_Gunshot,8/17/2015,38.67,-90.24

Multiple_Gunshots,8/17/2015,38.68,-90.28

Single_Gunshot,8/17/2015,38.66,-90.25

Single_Gunshot,8/17/2015,38.67,-90.22

Multiple_Gunshots,8/16/2015,38.68,-90.28

Multiple_Gunshots,8/16/2015,38.68,-90.22

Single_Gunshot,8/16/2015,38.68,-90.27

Multiple_Gunshots,8/15/2015,38.67,-90.24

Multiple_Gunshots,8/15/2015,38.68,-90.28

Multiple_Gunshots,8/15/2015,38.68,-90.27

Multiple_Gunshots,8/15/2015,38.67,-90.28

Single_Gunshot,8/15/2015,38.66,-90.24

Single_Gunshot,8/15/2015,38.67,-90.24

Single_Gunshot,8/14/2015,38.67,-90.24

Multiple_Gunshots,8/14/2015,38.67,-90.24

Multiple_Gunshots,8/14/2015,38.67,-90.22

Multiple_Gunshots,8/14/2015,38.67,-90.24

Multiple_Gunshots,8/14/2015,38.68,-90.23

Single_Gunshot,8/14/2015,38.68,-90.23

Multiple_Gunshots,8/13/2015,38.68,-90.23

Multiple_Gunshots,8/13/2015,38.68,-90.23

Multiple_Gunshots,8/13/2015,38.67,-90.27

Multiple_Gunshots,8/13/2015,38.67,-90.27

Multiple_Gunshots,8/12/2015,38.68,-90.27

Single_Gunshot,8/12/2015,38.67,-90.24

Multiple_Gunshots,8/12/2015,38.66,-90.23

Multiple_Gunshots,8/12/2015,38.66,-90.25

Single_Gunshot,8/12/2015,38.68,-90.27

Single_Gunshot,8/12/2015,38.67,-90.25

Gunshot_or_firework,8/12/2015,38.67,-90.28

Multiple_Gunshots,8/12/2015,38.66,-90.27

Single_Gunshot,8/12/2015,38.67,-90.27

Multiple_Gunshots,8/11/2015,38.66,-90.26

Single_Gunshot,8/11/2015,38.68,-90.27

Multiple_Gunshots,8/10/2015,38.68,-90.29

Gunshot_or_firework,8/10/2015,38.67,-90.25

Single_Gunshot,8/10/2015,38.67,-90.22

Single_Gunshot,8/10/2015,38.67,-90.23

Multiple_Gunshots,8/10/2015,38.65,-90.26

Single_Gunshot,8/10/2015,38.68,-90.27

Single_Gunshot,8/10/2015,38.68,-90.26

Multiple_Gunshots,8/9/2015,38.67,-90.25

Multiple_Gunshots,8/9/2015,38.65,-90.26

Multiple_Gunshots,8/9/2015,38.66,-90.25

Single_Gunshot,8/9/2015,38.66,-90.25

Multiple_Gunshots,8/9/2015,38.66,-90.24

Single_Gunshot,8/9/2015,38.67,-90.26

Single_Gunshot,8/8/2015,38.66,-90.26

Multiple_Gunshots,8/8/2015,38.67,-90.25

Gunshot_or_firework,8/8/2015,38.67,-90.26

Multiple_Gunshots,8/8/2015,38.66,-90.26

Multiple_Gunshots,8/8/2015,38.68,-90.28

Multiple_Gunshots,8/8/2015,38.67,-90.24

Single_Gunshot,8/8/2015,38.66,-90.24

Multiple_Gunshots,8/8/2015,38.67,-90.23

Single_Gunshot,8/8/2015,38.67,-90.26

Multiple_Gunshots,8/8/2015,38.67,-90.26

Single_Gunshot,8/8/2015,38.67,-90.22

Multiple_Gunshots,8/8/2015,38.67,-90.27

Multiple_Gunshots,8/7/2015,38.65,-90.24

Single_Gunshot,8/7/2015,38.67,-90.24

Single_Gunshot,8/7/2015,38.67,-90.24

Single_Gunshot,8/7/2015,38.66,-90.26

Multiple_Gunshots,8/7/2015,38.68,-90.24

Multiple_Gunshots,8/6/2015,38.68,-90.26

Single_Gunshot,8/6/2015,38.67,-90.26

Multiple_Gunshots,8/6/2015,38.67,-90.23

Multiple_Gunshots,8/6/2015,38.67,-90.24

Single_Gunshot,8/6/2015,38.68,-90.23

Multiple_Gunshots,8/6/2015,38.67,-90.22

Multiple_Gunshots,8/5/2015,38.67,-90.23

Single_Gunshot,8/5/2015,38.67,-90.22

Single_Gunshot,8/5/2015,38.68,-90.27

Multiple_Gunshots,8/5/2015,38.66,-90.25

Multiple_Gunshots,8/5/2015,38.67,-90.25

Multiple_Gunshots,8/5/2015,38.68,-90.23

Multiple_Gunshots,8/5/2015,38.66,-90.26

Multiple_Gunshots,8/5/2015,38.67,-90.26

Single_Gunshot,8/5/2015,38.66,-90.25

Single_Gunshot,8/5/2015,38.66,-90.25

Multiple_Gunshots,8/5/2015,38.66,-90.25

Multiple_Gunshots,8/5/2015,38.67,-90.26

Multiple_Gunshots,8/5/2015,38.67,-90.26

Single_Gunshot,8/5/2015,38.66,-90.25

Multiple_Gunshots,8/4/2015,38.66,-90.25

Multiple_Gunshots,8/4/2015,38.66,-90.25

Multiple_Gunshots,8/4/2015,38.67,-90.25

Multiple_Gunshots,8/3/2015,38.66,-90.26

Single_Gunshot,8/3/2015,38.66,-90.26

Multiple_Gunshots,8/3/2015,38.66,-90.26

Multiple_Gunshots,8/3/2015,38.67,-90.24

Multiple_Gunshots,8/3/2015,38.68,-90.23

Multiple_Gunshots,8/3/2015,38.68,-90.23

Single_Gunshot,8/3/2015,38.66,-90.26

Multiple_Gunshots,8/3/2015,38.66,-90.26

Multiple_Gunshots,8/3/2015,38.68,-90.29

Multiple_Gunshots,8/2/2015,38.68,-90.24

Single_Gunshot,8/2/2015,38.68,-90.24

Single_Gunshot,8/2/2015,38.68,-90.29

Multiple_Gunshots,8/2/2015,38.67,-90.26

